Número da contratação;Status da contratação;Situação da Execução;Título da contratação;Categoria da contratação;UASG Atual;Data estimada para o início do processo de contratação;Data estimada para a conclusão do processo de contratação;Prazo estimado de duração do processo de contratação (dias);Área requisitante;Nº DFD;Prioridade;Nº do Item no DFD;Data da conclusão da Contratação no DFD;Classificação da Contratação;Código Classe/Grupo;Nome Classe/Grupo;Código PDM material;Nome do PDM material;Código material/serviço;Descrição material/serviço;Unidade Fornecimento;Valor Unitário;Quantidade;Valor Total
"90201/2023";Aprovada;;"SERVIÇO - SAPS.DGCI.CGACI.COSMU - Contratação de Empresa de Guia para Agentes Comunitarios ";SERVICOS;250110;01/09/2023;01/03/2024;182;"SAPS.DGCI.CGESMU";"310/2023";"Médio";1;03/01/2024;Serviço;839;OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS;"";"";10138;"EDITORAÇÃO";"UN";3,0000;400.000,00000;1.200.000,0000
"90109/2023";Aprovada;Edição;"BENS - COGEP.COAP -  AQUISIÇÃO DE RIBBONS";BENS;250110;19/03/2024;16/09/2024;181;"SAA.COGEP.COAP";"399/2023";"Médio";1;15/09/2024;Material;7070;PEÇAS E ACESSÓRIOS PARA IMPRESSORAS;"219";"FITA IMPRESSORA";479977;"MATERIAL: RESINA, TIPO IMPRESSORA: FARGO, CARACTERÍSTICAS ADICIONAIS: PART NUMBER 45000, REFERÊNCIA: YMCKO DTC 1000/1250E";"UN";550,0000;40,00000;22.000,0000
"90106/2023";Devolvida;;"SERVIÇO - CGENG - ELABORAÇÃO DE PROJETO";SERVICOS;250110;01/12/2023;31/05/2024;182;"SAA.CGENG";"487/2023";"Médio";1;31/05/2024;Serviço;833;SERVIÇOS DE ENGENHARIA;"";"";20060;"ELABORAÇÃO / ANÁLISE PROJETO - ENGENHARIA";"UN";6.600.000,0000;1,00000;6.600.000,0000
"90106/2023";Devolvida;;"SERVIÇO - CGENG - ELABORAÇÃO DE PROJETO";SERVICOS;250110;01/12/2023;31/05/2024;182;"SAA.CGENG";"487/2023";"Médio";2;31/05/2024;Serviço;833;SERVIÇOS DE ENGENHARIA;"";"";20060;"ELABORAÇÃO / ANÁLISE PROJETO - ENGENHARIA";"UN";900.000,0000;1,00000;900.000,0000
"90106/2023";Devolvida;;"SERVIÇO - CGENG - ELABORAÇÃO DE PROJETO";SERVICOS;250110;01/12/2023;31/05/2024;182;"SAA.CGENG";"487/2023";"Médio";3;31/05/2024;Serviço;833;SERVIÇOS DE ENGENHARIA;"";"";20060;"ELABORAÇÃO / ANÁLISE PROJETO - ENGENHARIA";"UN";550.000,0000;1,00000;550.000,0000
"90106/2023";Devolvida;;"SERVIÇO - CGENG - ELABORAÇÃO DE PROJETO";SERVICOS;250110;01/12/2023;31/05/2024;182;"SAA.CGENG";"487/2023";"Médio";4;31/05/2024;Serviço;833;SERVIÇOS DE ENGENHARIA;"";"";20060;"ELABORAÇÃO / ANÁLISE PROJETO - ENGENHARIA";"UN";300.000,0000;1,00000;300.000,0000
"90106/2023";Devolvida;;"SERVIÇO - CGENG - ELABORAÇÃO DE PROJETO";SERVICOS;250110;01/12/2023;31/05/2024;182;"SAA.CGENG";"487/2023";"Médio";5;31/05/2024;Serviço;833;SERVIÇOS DE ENGENHARIA;"";"";20060;"ELABORAÇÃO / ANÁLISE PROJETO - ENGENHARIA";"UN";600.000,0000;1,00000;600.000,0000
"90330/2023";Aprovada;;"SERVIÇO - COGEP.CODEP - ações de desenvolvimento relacionadas ao Tema Ensino-Aprendizagem";SERVICOS;250110;03/07/2024;30/12/2024;180;"SAA.COGEP.CODEP";"536/2023";"Baixo";1;31/12/2024;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"UN";2.500,0000;6,00000;15.000,0000
"90324/2023";Aprovada;Encerrada;"SERVIÇO - COGEP.CODEP - ações de desenvolvimento relacionadas a Gestão Informação e do Conhencimento";SERVICOS;250110;03/07/2024;30/12/2024;180;"SAA.COGEP.CODEP";"542/2023";"Baixo";1;31/12/2024;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"UN";2.500,0000;63,00000;157.500,0000
"90316/2023";Aprovada;;"SERVIÇO - COGEP.CODEP - ações de desenvolvimento relacionadas ao Tema Medicina Preventiva";SERVICOS;250110;03/07/2024;30/12/2024;180;"SAA.COGEP.CODEP";"550/2023";"Baixo";1;31/12/2024;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"UN";2.500,0000;5,00000;12.500,0000
"90310/2023";Aprovada;Encerrada;"SERVIÇO - COGEP.CODEP - ações de des. relacionadas ao Tema Parcerias Público-Privadas";SERVICOS;250110;03/07/2024;30/12/2024;180;"SAA.COGEP.CODEP";"556/2023";"Baixo";1;31/12/2024;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"UN";2.500,0000;5,00000;12.500,0000
"90308/2023";Aprovada;;"SERVIÇO - COGEP.CODEP -  ações de des. relacionadas ao Tema Políticas Sociais";SERVICOS;250110;03/07/2024;30/12/2024;180;"SAA.COGEP.CODEP";"558/2023";"Baixo";1;31/12/2024;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"UN";2.500,0000;10,00000;25.000,0000
"90304/2023";Aprovada;;"SERVIÇO - COGEP.CODEP - ações de des. relacionadas ao Tema Relações de Trabalho no Setor Público";SERVICOS;250110;03/07/2024;30/12/2024;180;"SAA.COGEP.CODEP";"564/2023";"Baixo";1;31/12/2024;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"UN";2.500,0000;5,00000;12.500,0000
"90097/2023";Aprovada;;"BENS - CASAI/BSB - AQUISIÇÃO DE VEÍCULOS  ";BENS;250110;03/01/2024;01/07/2024;180;"SESAI.CASAI.BSB";"498/2023";"Médio";1;01/07/2024;Material;2320;VEÍCULOS SOBRE RODAS;"648";"VEÍCULO TRANSPORTE PESSOAL";404398;"TIPO: MICROÔNIBUS, COMBUSTÍVEL: ÓLEO DIESEL, COR: BRANCA, QUANTIDADE PORTAS: 2, CARACTERÍSTICAS ADICIONAIS: PLATAFORMA ELEVATÓRIA VEICULAR AUTOMÁTICA, CAPACIDADE PASSAGEIRO: 23, POTÊNCIA MÍNIMA: 145";"UN";359.000,0000;2,00000;718.000,0000
"90097/2023";Aprovada;;"BENS - CASAI/BSB - AQUISIÇÃO DE VEÍCULOS  ";BENS;250110;03/01/2024;01/07/2024;180;"SESAI.CASAI.BSB";"498/2023";"Médio";2;01/07/2024;Material;2310;VEÍCULOS MOTORIZADOS DE PASSAGEIROS;"3142";"AUTOMÓVEL";456358;"TIPO MOTOR: MÍNIMO 2.8L, QUANTIDADE PORTAS: 4, TIPO COMBUSTÍVEL: DIESEL, POTÊNCIA: 180, TIPO CÂMBIO: MANUAL, MODELO: SUV, COR: PRETA";"UN";269.000,0000;3,00000;807.000,0000
"90097/2023";Aprovada;;"BENS - CASAI/BSB - AQUISIÇÃO DE VEÍCULOS  ";BENS;250110;03/01/2024;01/07/2024;180;"SESAI.CASAI.BSB";"498/2023";"Médio";3;01/07/2024;Material;2310;VEÍCULOS MOTORIZADOS DE PASSAGEIROS;"3142";"AUTOMÓVEL";483944;"TIPO MOTOR: MÍNIMO 1.0, QUANTIDADE PORTAS: 5, TIPO COMBUSTÍVEL: ÁLCOOL / GASOLINA, POTÊNCIA: MÍNIMO DE 98, QUANTIDADE PASSAGEIRO: 5, TIPO CÂMBIO: MANUAL, MODELO: PASSEIO, OPCIONAIS: AR CONDICIONADO / DIREÇÃO HIDRÁULICA / TRAVA ELÉTR";"UN";88.850,0000;2,00000;177.700,0000
"90065/2023";Aprovada;;"SERVIÇOS - AUDSUS - Licenciamento";CONTRATACOES_TIC;250110;04/08/2023;31/01/2024;180;"GM.AUDSUS";"290/2023";"Médio";1;31/01/2024;Serviço;182;SERVIÇOS DE  LICENCIAMENTO E  CONTRATOS DE TRANSFERÊNCIA DE TECNOLOGIA;"";"";27456;"LICENCIAMENTO DE DIREITOS PERMANENTES  DE  USO  DE  SOFTWAREPARA ESTAÇÃO DE TRABALHO";"UN";1.300,0000;1,00000;1.300,0000
"90065/2023";Aprovada;;"SERVIÇOS - AUDSUS - Licenciamento";CONTRATACOES_TIC;250110;04/08/2023;31/01/2024;180;"GM.AUDSUS";"290/2023";"Médio";2;31/01/2024;Serviço;182;SERVIÇOS DE  LICENCIAMENTO E  CONTRATOS DE TRANSFERÊNCIA DE TECNOLOGIA;"";"";27456;"LICENCIAMENTO DE DIREITOS PERMANENTES  DE  USO  DE  SOFTWAREPARA ESTAÇÃO DE TRABALHO";"UN";3.200,0000;1,00000;3.200,0000
"90063/2023";Aprovada;Preparação;"BENS - SAA.CGENG - mobiliários e equipamentos p/ instalação do auditório do Bloco "O",";BENS;250110;02/02/2024;31/07/2024;180;"SAA.CGENG";"245/2023";"Médio";1;31/01/2024;Serviço;833;SERVIÇOS DE ENGENHARIA;"";"";20060;"ELABORAÇÃO / ANÁLISE PROJETO - ENGENHARIA";"UN";5.000.000,0000;1,00000;5.000.000,0000
"90062/2023";Aprovada;;" SERVIÇO - CGENG -  instalação de divisórias de diversos modelos, portas, persianas, isolamento ";OBRAS_SERV_ESP_ENGENHARIA;250110;23/10/2023;10/01/2024;79;"SAA.CGENG";"295/2023";"Médio";1;31/08/2024;Material;5670;COMPONENTES PRÉ-FABRICADOS PARA CONSTRUÇÃO;"815";"DIVISÓRIA";486364;"MATERIAL: MDF, ACABAMENTO SUPERFICIAL: LAMINADO MELAMÍNICO, MATERIAL PERFIL: ALUMÍNIO ANODIZADO, ALTURA: 2,60, LARGURA: 90, CARACTERÍSTICAS ADICIONAIS: PAINEL CEGO, PADRÃO ACABAMENTO: ANODIZADO";"M2";780,0000;1.200,00000;936.000,0000
"90062/2023";Aprovada;;" SERVIÇO - CGENG -  instalação de divisórias de diversos modelos, portas, persianas, isolamento ";OBRAS_SERV_ESP_ENGENHARIA;250110;23/10/2023;10/01/2024;79;"SAA.CGENG";"295/2023";"Médio";2;31/08/2024;Material;5670;COMPONENTES PRÉ-FABRICADOS PARA CONSTRUÇÃO;"815";"DIVISÓRIA";457445;"MATERIAL: VIDRO, ACABAMENTO SUPERFICIAL: LAMINADO MELAMÍNICO, MATERIAL PERFIL: ALUMÍNIO ANODIZADO FOSCO, ALTURA: 2,50, ESPESSURA: 15, LARGURA: 90, CARACTERÍSTICAS ADICIONAIS: VIDRO DUPLO 6 MM, BANDEIRA CEGA NA PARTE SUPERIOR";"M2";920,0000;1.250,00000;1.150.000,0000
"90062/2023";Aprovada;;" SERVIÇO - CGENG -  instalação de divisórias de diversos modelos, portas, persianas, isolamento ";OBRAS_SERV_ESP_ENGENHARIA;250110;23/10/2023;10/01/2024;79;"SAA.CGENG";"295/2023";"Médio";3;31/08/2024;Material;5670;COMPONENTES PRÉ-FABRICADOS PARA CONSTRUÇÃO;"15475";"PORTA PARA DIVISÓRIA";486392;"MATERIAL: MDF, ACABAMENTO SUPERFICIAL: LAMINADO MELAMÍNICO, ALTURA: 2600, TIPO: PAINEL CEGO, LARGURA: 910, CARACTERÍSTICAS ADICIONAIS: COM FERRAGENS";"UN";2.250,0000;150,00000;337.500,0000
"90062/2023";Aprovada;;" SERVIÇO - CGENG -  instalação de divisórias de diversos modelos, portas, persianas, isolamento ";OBRAS_SERV_ESP_ENGENHARIA;250110;23/10/2023;10/01/2024;79;"SAA.CGENG";"295/2023";"Médio";4;31/08/2024;Material;5670;COMPONENTES PRÉ-FABRICADOS PARA CONSTRUÇÃO;"15475";"PORTA PARA DIVISÓRIA";602635;"MATERIAL: MADEIRA, ACABAMENTO SUPERFICIAL: LAMINADO MELAMÍNICO, ALTURA: 2,10, ESPESSURA: 4, TIPO: MONOBLOCO, LARGURA: 82, CARACTERÍSTICAS ADICIONAIS: DUPLA, COM BATENTE, REQUADRO, FECHADURA TUBULAR,, PADRÃO ACABAMENTO: MADEIRADO LINO";"UN";3.600,0000;20,00000;72.000,0000
"90062/2023";Aprovada;;" SERVIÇO - CGENG -  instalação de divisórias de diversos modelos, portas, persianas, isolamento ";OBRAS_SERV_ESP_ENGENHARIA;250110;23/10/2023;10/01/2024;79;"SAA.CGENG";"295/2023";"Médio";5;31/08/2024;Material;7230;TAPEÇARIAS, CORTINAS E PERSIANAS;"760";"PERSIANA";483681;"MATERIAL: ALUMÍNIO, ESPESSURA LÂMINA:  25, ALTURA: 1,50, APLICAÇÃO: AMBIENTE PROFISSIONAL, COR: CINZA, TIPO: HORIZONTAL, LARGURA: 2,50";"M2";350,0000;700,00000;245.000,0000
"90062/2023";Aprovada;;" SERVIÇO - CGENG -  instalação de divisórias de diversos modelos, portas, persianas, isolamento ";OBRAS_SERV_ESP_ENGENHARIA;250110;23/10/2023;10/01/2024;79;"SAA.CGENG";"295/2023";"Médio";1;31/08/2024;Serviço;546;SERVIÇOS DE INSTALAÇÃO;"";"";2240;"INSTALAÇÃO E MONTAGEM DE ISOLAMENTO ACÚSTICO";"UN";185,0000;2.250,00000;416.250,0000
"90062/2023";Aprovada;;" SERVIÇO - CGENG -  instalação de divisórias de diversos modelos, portas, persianas, isolamento ";OBRAS_SERV_ESP_ENGENHARIA;250110;23/10/2023;10/01/2024;79;"SAA.CGENG";"295/2023";"Médio";2;31/08/2024;Serviço;546;SERVIÇOS DE INSTALAÇÃO;"";"";2240;"INSTALAÇÃO E MONTAGEM DE ISOLAMENTO ACÚSTICO";"UN";805,0000;800,00000;644.000,0000
"90062/2023";Aprovada;;" SERVIÇO - CGENG -  instalação de divisórias de diversos modelos, portas, persianas, isolamento ";OBRAS_SERV_ESP_ENGENHARIA;250110;23/10/2023;10/01/2024;79;"SAA.CGENG";"295/2023";"Médio";6;31/08/2024;Material;5670;COMPONENTES PRÉ-FABRICADOS PARA CONSTRUÇÃO;"815";"DIVISÓRIA";456579;"MATERIAL: VIDRO, MATERIAL PERFIL: AÇO GALVANIZADO, ALTURA: 1.200, TRATAMENTO SUPERFICIAL PERFIL: PINTURA ELETROSTÁTICA EPÓXI POLIESTER, ESPESSURA: 35, LARGURA: 1.090, CARACTERÍSTICAS ADICIONAIS: PAINEL DE VIDRO COMUM TRANSPARENTE";"M2";1.700,0000;900,00000;1.530.000,0000
"90057/2023";Aprovada;;"BENS - SVS.DEDT.CGZV - EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO";BENS;250110;04/01/2024;27/12/2024;358;"SVS.DEIDT.CGZV";"313/2023";"Médio";1;31/12/2024;Material;6640;EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO;"7059";"MICROSCÓPIO";440658;"COMPONENTES: C/ CÂMERA DE VÍDEO INTEGRADA, OUTROS COMPONENTES: C/ SAÍDA USB, ADICIONAL: INCLINAÇÃO ATÉ 45°, TIPO DE ANÁLISE: ÓTICO, AUMENTO: OCULAR ATÉ 16X, TIPO: BINOCULAR";"UN";9.812,2500;54,00000;529.861,5000
"90057/2023";Aprovada;;"BENS - SVS.DEDT.CGZV - EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO";BENS;250110;04/01/2024;27/12/2024;358;"SVS.DEIDT.CGZV";"338/2023";"Médio";1;31/12/2024;Material;6640;EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO;"7059";"MICROSCÓPIO";427014;"COMPONENTES: ILUMINAÇÃO EM LED, REFLETIDA E TRANSMITIDA, OUTROS COMPONENTES: BASE CERCA DE 20 X 20 CM, ADICIONAL: INCLINAÇÃO ATÉ 35°, TIPO DE ANÁLISE: ESTEREOSCÓPIO, AUMENTO: OCULARES ATÉ 10X, ZOOM ATÉ 50X, TIPO: BINOCULAR";"UN";5.000,0000;54,00000;270.000,0000
"90272/2023";Aprovada;;"BENS - SVS - CARREGADORES DE BATERIA.";BENS;250110;03/07/2024;30/12/2024;180;"SVS.DEIDT.CGZV";"363/2023";"Médio";1;31/12/2024;Material;6130;CONVERSORES ELÉTRICOS ESTÁTICOS;"4569";"CARREGADOR BATERIA";431058;"TIPO: UNIVERSAL AUTOMÁTICO, TENSÃO ALIMENTAÇÃO: 110 / 220, APLICAÇÃO: NOTEBOOK, TENSÃO SAÍDA: 12/24, CONEXÃO: DOZE TIPOS DE CONECTORES";"UN";850,0000;80,00000;68.000,0000
